Cliente,CNPJ,Produto,Qtd,Dt Emissao,Data Faturamento
MB IMPORTS,06752049000187,052301,6.0,20250107,20250113
MB IMPORTS,06752049000187,052301,44.0,20250107,20250113
MB IMPORTS,06752049000187,052295,1.0,20250107,20250113
MB IMPORTS,06752049000187,057066,1.0,20250107,20250113
MB IMPORTS,06752049000187,057066,102.0,20250107,20250113
W.CO LOGISTICA EM DU,19246547000108,050170,3.0,20250108,20250114
W.CO LOGISTICA EM DU,19246547000108,050916,2.0,20250319,20250327
W. NORDESTE,22101582000135,050916,1.0,20250108,20250116
W. NORDESTE,22101582000135,058175,5.0,20250124,20250127
MB DISTRIBUIDORA,06752049000268,058175,1.0,20250108,20250110
MB DISTRIBUIDORA,06752049000268,010599,2.0,20250109,20250110
LM COMERCIAL E DISTR,70963418000180,010631,3.0,20250123,        
MB IMPORTS,06752049000187,010648,1.0,20250103,20250106
W.CO LOGISTICA EM DU,19246547000108,010648,2.0,20250319,20250327
W. NORDESTE,22101582000135,010648,2.0,20250319,20250320
MB DISTRIBUIDORA,06752049000268,010593,1.0,20250108,20250110
W. NORDESTE,22101582000135,010594,5.0,20250124,20250127
W.CO LOGISTICA EM DU,19246547000108,010594,4.0,20250320,20250327
MB DISTRIBUIDORA,06752049000268,010594,6.0,20250314,20250320
MB DISTRIBUIDORA,06752049000268,010598,2.0,20250110,20250114
LM COMERCIAL E DISTR,70963418000180,050608,2.0,20250110,20250110
MB DISTRIBUIDORA,06752049000268,050608,4.0,20250110,20250114
MB DISTRIBUIDORA,06752049000268,010591,1.0,20250320,20250321
W.CO LOGISTICA EM DU,19246547000108,010596,5.0,20250125,20250127
MB IMPORTS,06752049000187,010609,6.0,20250103,20250106
LM COMERCIAL E DISTR,70963418000180,010613,2.0,20250108,        
LM COMERCIAL E DISTR,70963418000180,010613,2.0,20250108,20250110
W.CO LOGISTICA EM DU,19246547000108,010613,2.0,20250125,20250127
W.CO LOGISTICA EM DU,19246547000108,010613,1.0,20250108,20250114
W. NORDESTE,22101582000135,010640,3.0,20250110,20250116
W.CO LOGISTICA EM DU,19246547000108,058167,5.0,20250319,20250327
MB DISTRIBUIDORA,06752049000268,058167,2.0,20250320,20250321
MB DISTRIBUIDORA,06752049000268,058167,3.0,20250108,20250110
LM COMERCIAL E DISTR,70963418000180,058174,4.0,20250108,        
LM COMERCIAL E DISTR,70963418000180,058174,4.0,20250108,20250110
W.CO LOGISTICA EM DU,19246547000108,058174,42.0,20250319,20250327
W.CO LOGISTICA EM DU,19246547000108,058174,1.0,20250113,20250114
W.CO LOGISTICA EM DU,19246547000108,058174,10.0,20250125,20250127
MB DISTRIBUIDORA,06752049000268,058174,1.0,20250108,20250110
W.CO LOGISTICA EM DU,19246547000108,058174,8.0,20250108,20250114
MB DISTRIBUIDORA,06752049000268,058174,14.0,20250320,20250321
MB DISTRIBUIDORA,06752049000268,010595,1.0,20250108,20250110
W. NORDESTE,22101582000135,010602,4.0,20250110,20250116
W. NORDESTE,22101582000135,010614,3.0,20250319,20250320
MB DISTRIBUIDORA,06752049000268,010614,3.0,20250108,20250110
MB DISTRIBUIDORA,06752049000268,010621,3.0,20250108,20250110
W. NORDESTE,22101582000135,050167,10.0,20250124,20250127
W. NORDESTE,22101582000135,050167,3.0,20250328,20250328
W. NORDESTE,22101582000135,050167,2.0,20250108,20250116
LM COMERCIAL E DISTR,70963418000180,058166,1.0,20250108,        
LM COMERCIAL E DISTR,70963418000180,058166,1.0,20250108,20250110
W.CO LOGISTICA EM DU,19246547000108,060479,4.0,20250113,20250114
W.CO LOGISTICA EM DU,19246547000108,010650,1.0,20250113,20250114
W.CO LOGISTICA EM DU,19246547000108,010650,2.0,20250108,20250114
MB DISTRIBUIDORA,06752049000268,010650,9.0,20250314,20250320
MB DISTRIBUIDORA,06752049000268,010650,3.0,20250108,20250109
MB DISTRIBUIDORA,06752049000268,010650,2.0,20250108,20250110
W.CO LOGISTICA EM DU,19246547000108,050155,1.0,20250113,20250114
W.CO LOGISTICA EM DU,19246547000108,050155,3.0,20250108,20250114
MB DISTRIBUIDORA,06752049000268,050155,2.0,20250320,20250321
LM COMERCIAL E DISTR,70963418000180,056007,1.0,20250108,        
LM COMERCIAL E DISTR,70963418000180,056007,1.0,20250108,20250110
